Job Title,Location,Salary,Monthly Salary,Locality,City,State,Annual Salary,Salary Level,Work Mode
Robotics / STEM Trainer,"Indore, Madhya Pradesh","₹1,80,000 - ₹3,60,000 a year",270000.0,,Indore,Madhya Pradesh,3240000.0,Above Medium Standard Salary,Onsite
HTML Developers - Freshers,"Banaswadi, Bengaluru, Karnataka",Not specified,,Banaswadi,Bengaluru,Karnataka,,High Standard Salary,Onsite
Java Developers - Freshers,"Banaswadi, Bengaluru, Karnataka",Not specified,,Banaswadi,Bengaluru,Karnataka,,High Standard Salary,Onsite
"Teachers - Pre-Primary and Primary (English, Mathematics, EVS and Computers)","Pulivendla, Andhra Pradesh","₹20,000 - ₹30,000 a month",25000.0,,Pulivendla,Andhra Pradesh,300000.0,Market Standard Salary,Onsite
College Student,Remote,"₹15,000 - ₹20,000 a month",17500.0,Remote,Remote,Remote,210000.0,Market Standard Salary,Remote
Software Testers - Freshers,"Banaswadi, Bengaluru, Karnataka",Not specified,,Banaswadi,Bengaluru,Karnataka,,High Standard Salary,Onsite
Web Developer - Freshers,"Banaswadi, Bengaluru, Karnataka",Not specified,,Banaswadi,Bengaluru,Karnataka,,High Standard Salary,Onsite
Computer Operator and Data Entry - Freshers,"Banaswadi, Bengaluru, Karnataka",Not specified,,Banaswadi,Bengaluru,Karnataka,,High Standard Salary,Onsite
Back Office Assistant,Remote,"₹14,678 - ₹22,689 a month",18683.5,Remote,Remote,Remote,224202.0,Market Standard Salary,Remote
Customer Service Officer,Remote,"From ₹12,800 a month",,Remote,Remote,Remote,,High Standard Salary,Remote
Recruiter,Remote,"₹12,000 - ₹25,000 a month",18500.0,Remote,Remote,Remote,222000.0,Market Standard Salary,Remote
Sales Advisor_ Work From Home,Remote,"₹10,000 - ₹25,000 a month",17500.0,Remote,Remote,Remote,210000.0,Market Standard Salary,Remote
Junior Python Developer,"Kochi, Kerala","₹35,000 - ₹55,000 a month",45000.0,,Kochi,Kerala,540000.0,Market Standard Salary,Onsite
Customer Support - Trainee,Remote,"₹3,00,000 - ₹6,00,000 a year",450000.0,Remote,Remote,Remote,5400000.0,High Standard Salary,Remote
Fresher KYC Verification Executive,"Indraprastha H.O, Delhi, Delhi","₹17,000 - ₹23,000 a month",20000.0,Indraprastha H.O,Delhi,Delhi,240000.0,Market Standard Salary,Onsite
Trainee,"Powai, Mumbai, Maharashtra","₹4,00,000 - ₹6,00,000 a year",500000.0,Powai,Mumbai,Maharashtra,6000000.0,High Standard Salary,Onsite
Chat Support Representative- Mohali,"Mohali, Punjab","₹30,000 - ₹35,000 a month",32500.0,,Mohali,Punjab,390000.0,Market Standard Salary,Onsite
"Fresher (ITI , Diploma or Any Degree)","Erode, Tamil Nadu","₹12,000 - ₹15,000 a month",13500.0,,Erode,Tamil Nadu,162000.0,Market Standard Salary,Onsite
Python Intern Trainee,"Kulasegaram, Tamil Nadu","₹8,500 - ₹22,000 a month",15250.0,,Kulasegaram,Tamil Nadu,183000.0,Market Standard Salary,Onsite
Software Engineer Trainee - Freshers,"Tirunelveli, Tamil Nadu",Not specified,,,Tirunelveli,Tamil Nadu,,High Standard Salary,Onsite
Programmer Trainee,Remote,"From ₹2,71,362.01 a year",,Remote,Remote,Remote,,High Standard Salary,Remote
Quality Analyst,Remote,"₹2,80,000 - ₹3,50,000 a year",315000.0,Remote,Remote,Remote,3780000.0,Above Medium Standard Salary,Remote
Data Entry Operator,"Hassan, Karnataka",Not specified,,,Hassan,Karnataka,,High Standard Salary,Onsite
